Summary of the graviton properties 
n     mass     Decay width     Cross section [fb]    BR to photons 
0 0 0 0 0 
1 703.296810842611 1.9049520526750446e-05 0.3006758031978537 0.0428979065407025 
2 713.0957976075509 7.728818239810265e-05 1.1248663957598755 0.04288212259208704 
3 729.1348553405508 0.0001779103921672099 2.272475699652525 0.04285786689669021 
4 751.0142916497642 0.00032600595656858534 3.4976316406689945 0.04282764051512795 
5 778.2416742469418 0.0005282657721109404 4.5890846940691326 0.04279406275234607 
6 810.2780689923328 0.0007926585161114923 5.414892396830184 0.042759434695102766 
7 846.5777004669912 0.0011281247897124054 5.926059808815909 0.04272551061379964 
8 886.6170904335133 0.0015443162264620251 6.137703544630761 0.042693458502389314 
9 929.913294588465 0.002051389028431939 6.1114720862554535 0.042663938713023264 
10 976.0329984886434 0.0026598492630985518 5.880230089785756 0.04263722930913339 
11 1024.5949936964685 0.0033804414272038314 5.5361883997863375 0.04261335069373566 
12 1075.268429909376 0.004224070392641429 5.121344770393162 0.04259216731435827 
13 1127.7687262441966 0.005201747789483958 4.6745522579036995 0.042573461260872414 
14 1181.852449213486 0.006324555662846456 4.223711253068248 0.042556980993835106 
15 1237.3119783676823 0.007603622059903489 3.787428060603387 0.04254247115909923 
16 1293.9704247760667 0.009050104732819092 3.3771328403788075 0.042529689298753025 
17 1351.6770312692809 0.010675180310364792 2.9986218032692653 0.042518414081434794 
18 1410.3031382683273 0.012529954718404531 2.6543411621797848 0.042373026111688854 
19 1469.7387165890486 0.014677899523050177 2.344604945826927 0.042001512111635546 
20 1529.889426251103 0.017119884837385548 2.0681050864399557 0.041533707025431785 
21 1590.674142101961 0.01978535382215804 1.822502551402416 0.04119623142917077 
22 1652.0228825386966 0.022735274236080103 1.6051955053339626 0.040864173805890504 
23 1713.8750802768252 0.02590369302028124 1.413506998682932 0.040668171955075834 
24 1776.178140119706 0.02931231031610501 1.2446746398502444 0.04055463100044023 
25 1838.8862358414337 0.03298763196660154 1.0963000092010635 0.04048230554926191 
26 1901.9593054473671 0.036968653785507066 0.9659262326656305 0.04041064478995662 
27 1965.3622106551654 0.041216846689695025 0.8513983530895349 0.04039028024088805 
28 2029.0640322196984 0.04574640889187001 0.7508098974182736 0.04040511129658257 
29 2093.0374776641574 0.05057419975507365 0.6624704947330651 0.0404413347360337 
30 2157.258382125004 0.05571785227648581 0.5848541352877866 0.040488511107789824 
31 2221.7052864575035 0.061196712706037 0.5166124608200113 0.04053808620693266 
32 2286.3590795805935 0.06701860567635645 0.4565840566077913 0.040591070674338064 
33 2351.2026943610786 0.07318991169451011 0.4037562298104295 0.04064884658875473 
34 2416.2208482346446 0.07972982181823848 0.35723579531056926 0.04070569437501388 
35 2481.3998213104373 0.08666226238139742 0.31624316903775124 0.04075532047985344 
36 2546.7272659705773 0.09399041684698979 0.2800943485269036 0.040802367533725854 
37 2612.192043008945 0.1017259599151448 0.24819064721534978 0.040846820168052675 
38 2677.7840801982697 0.10988115123165333 0.22001774033022692 0.040888487628055095 
39 2743.4942498664213 0.11847343359903353 0.19512816523044305 0.040925481021966435 
